GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
achat,tn.esprit.rh.achat.entities,Facture,93,3,0,0,11,1,19,1,19,1
achat,tn.esprit.rh.achat.entities,SecteurActivite,18,32,0,0,2,6,5,6,5,6
achat,tn.esprit.rh.achat.entities,SecteurActivite.SecteurActiviteBuilder,37,25,0,0,0,1,3,4,3,4
achat,tn.esprit.rh.achat.entities,Operateur.OperateurBuilder,74,0,0,0,1,0,8,0,8,0
achat,tn.esprit.rh.achat.entities,CategorieProduit,43,3,0,0,6,1,9,1,9,1
achat,tn.esprit.rh.achat.entities,Operateur,69,3,0,0,13,1,13,1,13,1
achat,tn.esprit.rh.achat.entities,CategorieFournisseur,0,24,0,0,0,2,0,1,0,1
achat,tn.esprit.rh.achat.entities,DetailFournisseur,63,3,0,0,8,1,13,1,13,1
achat,tn.esprit.rh.achat.entities,Produit,93,3,0,0,11,1,19,1,19,1
achat,tn.esprit.rh.achat.entities,Reglement,63,3,0,0,8,1,13,1,13,1
achat,tn.esprit.rh.achat.entities,Stock,65,3,0,0,12,1,12,1,12,1
achat,tn.esprit.rh.achat.entities,Fournisseur,73,3,0,0,9,1,15,1,15,1
achat,tn.esprit.rh.achat.entities,DetailFacture,73,3,0,0,9,1,15,1,15,1
achat,tn.esprit.rh.achat.controllers,CategorieProduitController,28,3,0,0,8,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,OperateurController,44,3,0,0,8,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,FournisseurRestController,34,3,0,0,10,1,6,1,6,1
achat,tn.esprit.rh.achat.controllers,ReglementRestController,32,3,0,0,9,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,FactureRestController,43,3,0,0,13,1,7,1,7,1
achat,tn.esprit.rh.achat.controllers,ProduitRestController,34,3,0,0,10,1,6,1,6,1
achat,tn.esprit.rh.achat.controllers,SecteurActiviteController,28,3,0,0,8,1,5,1,5,1
achat,tn.esprit.rh.achat.controllers,StockRestController,50,3,0,0,9,1,5,1,5,1
achat,tn.esprit.rh.achat,AchatApplication,5,3,0,0,2,1,1,1,1,1
achat,tn.esprit.rh.achat.dto,DtoOperateur,47,0,0,0,11,0,11,0,11,0
achat,tn.esprit.rh.achat.dto,DtoStock,47,0,0,0,11,0,11,0,11,0
achat,tn.esprit.rh.achat.util,SpringFoxSwaggerConfig,0,80,0,0,0,22,0,6,0,6
achat,tn.esprit.rh.achat.services,StockServiceImpl,167,7,4,0,33,2,8,2,6,2
achat,tn.esprit.rh.achat.services,SecteurActiviteServiceImpl,0,37,0,0,0,10,0,6,0,6
achat,tn.esprit.rh.achat.services,CategorieProduitServiceImpl,33,3,0,0,9,1,5,1,5,1
achat,tn.esprit.rh.achat.services,ProduitServiceImpl,90,7,2,0,18,2,7,2,6,2
achat,tn.esprit.rh.achat.services,OperateurServiceImpl,34,3,0,0,9,1,5,1,5,1
achat,tn.esprit.rh.achat.services,FactureServiceImpl,223,12,13,1,44,3,15,2,8,2
achat,tn.esprit.rh.achat.services,FournisseurServiceImpl,112,7,2,0,26,2,8,2,7,2
achat,tn.esprit.rh.achat.services,ReglementServiceImpl,35,3,0,0,8,1,5,1,5,1
